TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=board,,,,,,,,,,,,
section,Daily,,,,,,,,,,,,
task,Kitchen-Morning Cook,Breakfast for kids,1,1,,Parent1,every day @ 6:00,en,,30,minute,,en
task,Kitchen-Morning Cook,School and Work Lunch                 ,1,1,,Parent1,every day @ 6:00,en,,60,minute,,en
task,Kitchen-Evening Cook,Home Lunch                 ,1,1,,Parent2,every day @ 15:00,en,,30,minute,,en
task,Kitchen-Dnner Cook,Dinner        ,1,1,,Parent2,every day @ 18:00,en,,60,minute,,en
task,Kitchen-Counter Clean,Kitchen-Counter Clean,,,,Parent1,every day @ 20:00,en,,15,minute,,en
task,Kitchen-Load Dishwasher,Kitchen-Load Dishwasher,,,,Parent2,every day @ 20:00,en,,15,minute,,en
task,Kitchen-Unload Dishwasher,Kitchen-Unload Dishwasher,,,,Kid2,every day @ 20:00,en,,15,minute,,en
task,Kitchen-SnacksAndDrinks,Kitchen-SnacksAndDrinks,,,,Kid1,every day @ 20:00,en,,15,minute,,en
task,TidyUp-SchoolBagGetItready-Sathvika,TidyUp-SchoolBagGetItready-Sathvika,,,,Kid2,every day @ 20:00,en,,15,minute,,en
task,TidyUp-SchoolBagGetItready-Sreegan,TidyUp-SchoolBagGetItready-Sreegan,,,,Kid1,every day @ 20:00,en,,15,minute,,en
,,,,,,,,,,,,,
,,,,,,,,,,,,,
section,Weekly,,,,,,,,,,,,
task,Trash-Kitchen,Trash-Kitchen,1,1,,Parent2,every thursady,en,,30,minute,,en
task,"WashBottle,Bags-Sathvika","WashBottle,Clear up sports bag , clean lunchBag",1,1,,Kid1,every   Friday,en,,30,minute,,en
task,"WashBottle,Bags-Sreegan","WashBottle,Clear up sports bag , clean lunchBag",1,1,,Kid2,every   Friday,en,,30,minute,,en
task,Laundry-All,Laundry-All,,,,Parent1,every Saturday,en,,30,minute,,en
task,Laundry-PersonalFold-Sreegan,Laundry-PersonalFold,,,,Kid2,every Saturday,en,,30,minute,,en
task,Laundry-PersonalFold-Sathvika,Laundry-PersonalFold,,,,Parent1,every Saturday,en,,30,minute,,en
task,Laundry-PersonalFold,Laundry-PersonalFold,,,,Kid1,every Saturday,en,,30,minute,,en
